---- ukapsv01
10:20:03,818 \screen\at\overtimehours\getEmployeesOvertimeData
10:20:21,924 \screen\at\ktg26\extractOvertime
10:20:54,928 \screen\at\ktg26\extractOvertime
10:21:31,632 \screen\at\overtimehours\getEmployeesOvertimeData
10:21:56,258 \screen\at\overtimehours\getEmployeesOvertimeData
10:22:01,771 \screen\at\overtimehours\getEmployeesOvertimeData
10:22:51,837 \screen\at\overtimehours\getEmployeesOvertimeData
10:23:07,033 \screen\at\overtimehours\getEmployeesOvertimeData
10:23:09,604 \screen\at\correctionofdailyperformance\startScreen
10:23:10,575 \screen\at\correctionofdailyperformance\getRemainNum
10:24:24,326 \screen\at\correctionofdailyperformance\addAndUpdate
10:24:25,908 \screen\at\correctionofdailyperformance\loadRow
10:24:26,610 \screen\at\correctionofdailyperformance\getRemainNum
10:24:33,285 \screen\at\overtimehours\getEmployeesOvertimeData
10:25:39,079 \screen\at\overtimehours\getEmployeesOvertimeData
10:26:01,375 \screen\at\overtimehours\getEmployeesOvertimeData
10:26:03,648 \screen\at\correctionofdailyperformance\startScreen
10:26:04,601 \screen\at\correctionofdailyperformance\getRemainNum
10:29:43,711 \screen\at\overtimehours\getEmployeesOvertimeData

---- ukapsv02
10:20:20,796 \screen\at\ktg26\extractOvertime
10:20:24,960 \screen\at\overtimehours\getEmployeesOvertimeData
10:20:27,903 \screen\at\correctionofdailyperformance\startScreen
10:20:32,676 \screen\at\ktg26\extractOvertime
10:20:40,943 \screen\at\correctionofdailyperformance\startScreen
10:20:59,875 \screen\at\correctionofdailyperformance\calcTime
10:21:03,694 \screen\at\ktg26\extractOvertime
10:21:08,486 \screen\at\correctionofdailyperformance\addAndUpdate
10:21:10,253 \screen\at\correctionofdailyperformance\loadRow
10:21:11,506 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
10:21:20,291 \screen\at\correctionofdailyperformance\loadRow
10:21:55,322 \screen\at\correctionofdailyperformance\calcTime
10:22:00,369 \screen\at\correctionofdailyperformance\addAndUpdate
10:22:02,167 \screen\at\correctionofdailyperformance\loadRow
10:22:03,316 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
10:22:08,807 \screen\at\ktg26\extractOvertime
10:22:11,092 \screen\at\correctionofdailyperformance\loadRow
10:22:12,408 \screen\at\correctionofdailyperformance\calcTime
10:22:17,734 \screen\at\correctionofdailyperformance\addAndUpdate
10:22:19,458 \screen\at\correctionofdailyperformance\loadRow
10:22:20,629 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
10:22:28,147 \screen\at\correctionofdailyperformance\loadRow
10:22:35,898 \screen\at\ktg26\extractOvertime
10:22:39,170 \screen\at\ktg26\extractOvertime
10:23:42,858 \screen\at\ktg26\extractOvertime
10:24:01,904 \at\request\application\getStartPC
10:24:17,658 \screen\at\ktg26\extractOvertime
10:24:42,025 \screen\at\ktg26\extractOvertime
10:25:18,393 \at\request\application\getStartPC
10:25:42,801 \screen\at\ktg26\extractOvertime
10:25:44,699 \screen\at\ktg26\extractOvertime
10:25:46,078 \screen\at\correctionofdailyperformance\startScreen
10:25:59,388 \screen\at\correctionofdailyperformance\startScreen
10:26:02,460 \screen\at\correctionofdailyperformance\startScreen
10:26:08,114 \screen\at\correctionofdailyperformance\startScreen
10:26:20,149 \screen\at\correctionofdailyperformance\startScreen
10:26:24,061 \screen\at\correctionofdailyperformance\startScreen
10:26:27,842 \screen\at\correctionofdailyperformance\startScreen
10:26:31,062 \screen\at\ktg26\extractOvertime
10:26:31,214 \screen\at\correctionofdailyperformance\startScreen
10:26:43,511 \screen\at\correctionofdailyperformance\startScreen
10:26:53,341 \screen\at\ktg26\extractOvertime
10:26:56,232 \screen\at\correctionofdailyperformance\startScreen
