---- ukapsv01
13:50:01,732 \at\request\application\applist\getapplist
13:50:10,041 \screen\at\correctionofdailyperformance\startScreen
13:50:56,255 \screen\at\correctionofdailyperformance\startScreen
13:51:27,006 \at\request\application\applist\findByPeriod
13:51:55,262 \at\request\application\overtime\start
13:51:58,134 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:01,742 \screen\at\correctionofdailyperformance\startScreen
13:52:04,231 \screen\at\ktg26\extractOvertime
13:52:06,139 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:09,202 \at\request\application\overtime\start
13:52:15,511 \screen\at\correctionofdailyperformance\startScreen
13:52:18,724 \screen\at\ktg26\extractOvertime
13:52:20,745 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:25,791 \at\request\application\overtime\start
13:52:31,036 \screen\at\ktg26\extractOvertime
13:52:32,948 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:34,863 \at\request\application\overtime\start
13:52:48,277 \screen\at\ktg26\extractOvertime
13:52:50,191 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:52,036 \at\request\application\overtime\start
13:52:57,441 \screen\at\ktg26\extractOvertime
13:52:59,279 \screen\at\overtimehours\getEmployeesOvertimeData
13:53:01,410 \screen\at\correctionofdailyperformance\startScreen
13:53:24,613 \at\request\application\overtime\start
13:53:33,733 \screen\at\correctionofdailyperformance\addAndUpdate
13:53:35,415 \screen\at\correctionofdailyperformance\loadRow
13:53:49,244 \screen\at\overtimehours\getEmployeesOvertimeData
13:53:51,922 \screen\at\correctionofdailyperformance\startScreen
13:53:58,707 \screen\at\correctionofdailyperformance\startScreen
13:54:02,444 \screen\at\ktg26\extractOvertime
13:54:04,335 \screen\at\overtimehours\getEmployeesOvertimeData
13:54:06,160 \at\request\application\overtime\start
13:56:02,305 \screen\at\correctionofdailyperformance\startScreen
13:56:34,294 \screen\at\correctionofdailyperformance\startScreen
13:57:05,615 \at\request\app\smartphone\getStartNewMob
13:58:35,983 \screen\at\ktg26\extractOvertime
13:59:03,163 \screen\at\ktg26\extractOvertime
13:59:05,140 \screen\at\overtimehours\getEmployeesOvertimeData
14:00:00,455 \screen\at\overtimehours\getEmployeesOvertimeData
14:00:20,092 \screen\at\ktg26\extractOvertime
14:00:22,030 \screen\at\overtimehours\getEmployeesOvertimeData


---- ukapsv02
13:50:03,617 \screen\at\ktg26\extractOvertime
13:50:10,780 \screen\ksu\ksu002\getPlansResults
13:50:23,192 \at\request\application\getStartPC
13:50:26,409 \screen\at\ktg26\extractOvertime
13:50:28,192 \at\request\application\stamp\changeAppDateMobile
13:50:48,425 \screen\at\ktg26\extractOvertime
13:52:37,006 \screen\at\correctionofdailyperformance\startScreen
13:52:53,239 \screen\at\correctionofdailyperformance\startScreen
13:53:35,788 \screen\at\ktg26\extractOvertime
13:54:51,736 \screen\at\mobile\ccgs08\overtime\toppage
13:54:52,278 \screen\at\mobile\ccgs08\overtime\toppage
13:54:57,820 \screen\at\correctionofdailyperformance\initMOB
13:55:09,981 \screen\at\overtimehours\getEmployeesOvertimeData
13:55:23,790 \screen\at\mobile\ccgs08\overtime\toppage
13:55:24,335 \screen\at\mobile\ccgs08\overtime\toppage
13:55:45,673 \screen\at\correctionofdailyperformance\initMOB
13:55:47,301 \screen\at\correctionofdailyperformance\initMOB
13:56:04,114 \screen\at\correctionofdailyperformance\initMOB
13:56:15,884 \screen\at\ktg26\extractOvertime
13:56:24,030 \screen\at\correctionofdailyperformance\startScreen
13:56:32,070 \screen\at\correctionofdailyperformance\startScreen
13:56:33,513 \screen\at\mobile\ccgs08\overtime\toppage
13:56:34,665 \screen\at\mobile\ccgs08\overtime\toppage
13:56:45,530 \at\request\application\getStartPC
13:56:53,850 \screen\at\correctionofdailyperformance\startScreen
13:57:00,611 \screen\at\correctionofdailyperformance\startScreen
13:57:07,597 \at\request\application\appforleave\insert
13:57:12,719 \at\request\application\getStartPC
13:57:20,322 \screen\at\correctionofdailyperformance\startScreen
13:57:21,961 \screen\at\overtimehours\getEmployeesOvertimeData
13:57:35,117 \at\request\app\smartphone\getStartNewMob
13:57:40,639 \screen\at\correctionofdailyperformance\startScreen
13:58:06,677 \screen\at\schedule\start
13:58:26,004 \screen\at\schedule\get-data-grid
13:58:55,511 \screen\at\schedule\get-aggregated-info
13:59:04,998 \screen\at\schedule\get-aggregated-info
13:59:45,307 \screen\at\kdw013\a\changeDate
13:59:48,509 \screen\at\kdw013\a\changeDate
14:00:06,135 \screen\at\correctionofdailyperformance\startScreen


---- ukapsv03
13:53:46,823 \screen\at\correctionofdailyperformance\calcTime
13:53:50,310 \screen\at\correctionofdailyperformance\calcTime
13:53:58,331 \screen\at\correctionofdailyperformance\calcTime
13:54:04,413 \screen\at\correctionofdailyperformance\addAndUpdate
13:54:07,931 \screen\at\correctionofdailyperformance\loadRow
13:54:09,707 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:54:16,140 \screen\at\correctionofdailyperformance\loadRow
13:54:34,941 \screen\at\correctionofdailyperformance\addAndUpdate
13:54:37,361 \screen\at\correctionofdailyperformance\loadRow
13:54:39,040 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:54:44,587 \screen\at\correctionofdailyperformance\loadRow
13:54:48,644 \screen\at\correctionofdailyperformance\calcTime
13:54:57,519 \screen\at\correctionofdailyperformance\calcTime
13:55:01,184 \screen\at\correctionofdailyperformance\calcTime
13:55:09,649 \screen\at\correctionofdailyperformance\calcTime
13:55:15,993 \screen\at\overtimehours\getEmployeesOvertimeData
13:55:52,376 \screen\at\overtimehours\getEmployeesOvertimeData
13:56:36,359 \screen\at\correctionofdailyperformance\addAndUpdate
13:56:38,703 \screen\at\correctionofdailyperformance\loadRow
13:56:40,607 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:56:46,306 \screen\at\correctionofdailyperformance\loadRow
13:56:52,345 \screen\at\correctionofdailyperformance\calcTime
13:56:57,717 \screen\at\correctionofdailyperformance\calcTime
13:57:05,925 \screen\at\correctionofdailyperformance\addAndUpdate
13:57:08,265 \screen\at\correctionofdailyperformance\loadRow
13:57:09,979 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
13:57:15,547 \screen\at\correctionofdailyperformance\loadRow
13:58:54,906 \screen\at\correctionofdailyperformance\calcTime
13:59:49,406 \screen\at\correctionofdailyperformance\calcTime
13:59:55,414 \screen\at\correctionofdailyperformance\addAndUpdate
13:59:57,810 \screen\at\correctionofdailyperformance\loadRow
13:59:59,970 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
14:00:05,616 \screen\at\correctionofdailyperformance\loadRow
14:00:32,162 \screen\at\correctionofdailyperformance\calcTime
14:00:40,602 \screen\at\correctionofdailyperformance\calcTime
14:00:47,284 \screen\at\correctionofdailyperformance\calcTime


---- ukapsv04
13:50:04,676 \screen\at\schedule\change-month
